"","id","Nombre_legislador","Provincia","Orientacion","Voto","Genero","Edad","Rango_Edad","Camara","Anio","seats","colour","orden","cantidad_filas","linea_media","government","x","y","row","theta"
"161",161,"Moreau,  Leopoldo Raúl Guido","BUENOS AIRES","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.73205080756888,1,8,0.523598775598299
"162",162,"Moreau., Cecilia","BUENOS AIRES","MASSISMO Y ALIADOS","AFIRMATIVO","MASCULINO",65,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.48461497791618,0.857142857142857,6,0.523598775598299
"163",163,"Mosqueda,  Juan","CHACO","PJ","NEGATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.839693217560676,1.15573856339278,4,2.19911485751286
"164",164,"Moyano,  Facundo","BUENOS AIRES","MASSISMO Y ALIADOS","AFIRMATIVO","MASCULINO",53,"46-55","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.23717914826348,0.714285714285714,4,0.523598775598299
"165",165,"Muñoz,  Rosa Rosario","CHUBUT","MASSISMO Y ALIADOS","NEGATIVO","FEMENINO",59,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.587785252292473,0.809016994374947,1,2.19911485751286
"166",166,"Najul,  Claudia Inés","MENDOZA","CAMBIEMOS","AFIRMATIVO","FEMENINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.63330839509777,0.883902301354565,7,0.496040945303652
"167",167,"Nanni., Miguel","SALTA","CAMBIEMOS","NEGATIVO","MASCULINO",52,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.659063225274134,0.93367987772622,2,2.18545575901899
"168",168,"Navarro,  Graciela","SANTIAGO DEL ESTERO","OTROS","NEGATIVO","FEMENINO",63,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.983273890887507,1.40426064735256,6,2.18166156499291
"169",169,"Nazario., Adriana","CÓRDOBA","MASSISMO Y ALIADOS","NEGATIVO","FEMENINO",66,"66-75","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.12664011612724,1.65247754863199,8,2.16919492747867
"170",170,"Neder,  Estela Mary","SANTIAGO DEL ESTERO","OTROS","NEGATIVO","FEMENINO",39,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.873038937602232,1.30659510504686,5,2.15984494934298
"171",171,"Negri,  Mario Raúl","CÓRDOBA","CAMBIEMOS","AFIRMATIVO","MASCULINO",47,"46-55","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.38587627254741,0.740766300726568,5,0.490873852123405
"172",172,"Núñez., José Carlos","SANTA FE","CAMBIEMOS","NEGATIVO","MASCULINO",45,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.01576086508451,1.5547377453447,7,2.14951076298249
"173",173,"Ocaña,  Maria Graciela","BUENOS AIRES","CAMBIEMOS","AFIRMATIVO","FEMENINO",62,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,0.891006524188368,0.453990499739547,1,0.471238898038469
"174",174,"Olivares,  Héctor Enrique","LA RIOJA","CAMBIEMOS","NEGATIVO","MASCULINO",56,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1,1.73205080756888,8,2.0943951023932
